ingestion_year;ingestion_month;ingestion_day;id_mascara;ctrl_terc;estado_cli;f_vinc;genero_cli;f_nacim_cli;estado_civil;ocup;ingresos
2021;11;30;12508678;CLIENTE;ACTIVO;20211119;M;19950802;UNION LIBRE;EMPLEADO;1932000
2021;11;30;11233663;CLIENTE;ACTIVO;20210805;F;20200903;SOLTERO;ESTUDIANTE;800000
2021;11;30;10386106;CLIENTE;ACTIVO;20210929;M;19910410;SOLTERO;EMPLEADO;1050000
2021;11;30;15925244;CLIENTE;ACTIVO;20210923;F;19960210;CASADO;AMA DE CASA;900000
2021;11;30;5060212;EXCLIENTE;INACTIVO;19790521;F;0;NO INFORMA;NULL;0
2021;11;30;4036825;CLIENTE;ACTIVO;20110905;F;19380317;SOLTERO;PENSIONADO;1023585
2021;11;30;4017558;CLIENTE;INACTIVO;19111111;F;19290114;CASADO;AMA DE CASA;2008951
2021;11;30;3910174;EXCLIENTE;INACTIVO;19111111;F;0;NO INFORMA;NULL;0
2021;11;30;5482735;EXCLIENTE;INACTIVO;19980109;F;19581226;NO INFORMA;EMPLEADO;575000
2021;11;30;4716197;EXCLIENTE;INACTIVO;19911001;F;19520130;DIVORCIADO;AMA DE CASA;1100000
2021;11;30;5482779;EXCLIENTE;INACTIVO;19840801;F;19640113;SOLTERO;EMPLEADO;1044238
2021;11;30;9526641;CLIENTE;ACTIVO;19960117;M;19700526;CASADO;EMPLEADO;4456320
2021;11;30;16623242;EXCLIENTE;INACTIVO;19970918;M;0;SOLTERO;NULL;0
2021;11;30;16656301;EXCLIENTE;INACTIVO;19970827;F;0;SOLTERO;NULL;0
2021;11;30;9395627;EXCLIENTE;INACTIVO;19920326;M;0;NO INFORMA;NULL;0
2021;11;30;7262313;CLIENTE;ACTIVO;20211021;F;19730120;UNION LIBRE;AMA DE CASA;1200000
2021;11;30;7301542;CLIENTE;INACTIVO;19800121;F;0;NO INFORMA;EMPLEADO;1535933
2021;11;30;8534157;EXCLIENTE;INACTIVO;19970212;M;19680730;SOLTERO;EMPLEADO;1400000
2021;11;30;2637573;EXCLIENTE;INACTIVO;20101030;M;19530413;NO INFORMA;EMPLEADO;1996500
2021;11;30;2811799;EXCLIENTE;INACTIVO;19750701;F;0;NO INFORMA;NULL;0
2021;11;30;2615613;EXCLIENTE;INACTIVO;20200512;M;19511211;CASADO;PENSIONADO;6000000
2021;11;30;2932383;CLIENTE;INACTIVO;20130607;F;19280404;SOLTERO;PENSIONADO;1477987
2021;11;30;2906867;EXCLIENTE;INACTIVO;19971201;F;0;NO INFORMA;NULL;0
2021;11;30;2838635;EXCLIENTE;INACTIVO;19111111;F;0;NO INFORMA;NULL;0
2021;11;30;648086;CLIENTE;ACTIVO;19980302;M;19440226;UNION LIBRE;PENSIONADO;4281600
2021;11;30;1033423;CLIENTE;INACTIVO;19980514;M;19710523;SOLTERO;EMPLEADO;2498000
2021;11;30;1828341;CLIENTE;ACTIVO;19911220;M;19660817;SOLTERO;EMPLEADO;1136000
2021;11;30;2419829;EXCLIENTE;INACTIVO;20170904;M;19460401;CASADO;PENSIONADO;4377600
2021;11;30;677022;EXCLIENTE;INACTIVO;19910717;M;0;NO INFORMA;NULL;0
2021;11;30;2413864;CLIENTE;ACTIVO;19970806;M;0;CASADO;PENSIONADO;1709000
2021;11;30;2402275;EXCLIENTE;INACTIVO;19950316;M;0;NO INFORMA;NULL;0
2021;11;30;2835086;CLIENTE;ACTIVO;20200424;F;19430503;CASADO;PENSIONADO;1958982
2021;11;30;2409503;CLIENTE;ACTIVO;19840515;M;19450102;NO INFORMA;PENSIONADO;4796160
2021;11;30;12889275;CLIENTE;ACTIVO;19971203;F;19921224;SOLTERO;EMPLEADO;2591000
2021;11;30;3566090;EXCLIENTE;INACTIVO;19960604;F;0;CASADO;NULL;0
2021;11;30;4166806;EXCLIENTE;INACTIVO;20130706;F;19760816;NO INFORMA;EMPLEADO;1238597
2021;11;30;4608201;CLIENTE;INACTIVO;19921229;F;19581106;CASADO;EMPLEADO;1878000
2021;11;30;4058432;EXCLIENTE;INACTIVO;19870216;F;0;NO INFORMA;NULL;0
2021;11;30;4813511;EXCLIENTE;INACTIVO;19961011;F;0;CASADO;NULL;0
2021;11;30;4813660;EXCLIENTE;INACTIVO;19930907;F;0;NO INFORMA;NULL;0
2021;11;30;2974626;CLIENTE;INACTIVO;19920317;F;0;NO INFORMA;EMPLEADO;0
